"","block","number","street","floor","price","address","urls"
"117",39,3906,"Central","2nd",4100,"3906 Central Ave., 2nd Flr.","http://www.bergerrealty.com/rental/864b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=4001&maxprice=4401&sortby=1&limit=100"
"118",39,3912,"Central","1st",3200,"3912 Central Avenue, 1st Floor","http://www.bergerrealty.com/rental/219.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"119",39,3929,"Asbury","1st",4100,"3929 Asbury Avenue, 1st Floor","http://www.bergerrealty.com/rental/504.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=4001&maxprice=4401&sortby=1&limit=100"
"120",39,3941,"Central","1st",4400,"3941 Central Avenue, 1st Floor","http://www.bergerrealty.com/rental/58c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=4001&maxprice=4401&sortby=1&limit=100"
"121",40,4026,"Central","2nd",4300,"4026 Central Avenue, 2nd Flr.","http://www.bergerrealty.com/rental/264b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=4001&maxprice=4401&sortby=1&limit=100"
"122",40,4063,"Asbury","2nd",3900,"4063 Asbury Avenue, 2nd Floor","http://www.bergerrealty.com/rental/1404a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"123",41,4122,"Central","2nd",3200,"4122 Central Ave., 2nd","http://www.bergerrealty.com/rental/1316b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"124",42,4210,"Asbury","2nd",3000,"4210 Asbury Avenue, 2nd","http://www.bergerrealty.com/rental/1240.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"125",42,4232,"Central","1st",3000,"4232 Central Avenue, 1st Flr.","http://www.bergerrealty.com/rental/411a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"126",42,4234,"Central","2nd",3100,"4234 Central Avenue, 2nd floor","http://www.bergerrealty.com/rental/411b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"127",42,4237,"Asbury","1st",3300,"4237 Asbury Avenue, 1st Floor","http://www.bergerrealty.com/rental/1342d.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
